name,count_left,count_right,count_total,volume (mm^3)_left,volume (mm^3)_right,volume_total (mm^3),density (cells/mm^3)_left,density (cells/mm^3)_right,density_total (cells/mm^3)
"Primary somatosensory area, unassigned",8366.0,4371.0,12737.0,0.63115625,0.63125,1.26240625,13255.037876912413,6924.3564356435645,10089.697156277989
"Primary somatosensory area, unassigned, layer 1",839.0,317.0,1156.0,0.08315625,0.083015625,0.166171875,10089.440060127772,3818.5582533408624,6953.999156734317
"Primary somatosensory area, unassigned, layer 2/3",1952.0,969.0,2921.0,0.165390625,0.1659375,0.331328125,11802.36183278224,5839.54802259887,8820.954927690556
"Primary somatosensory area, unassigned, layer 4",1255.0,646.0,1901.0,0.09409375,0.093875,0.18796875000000002,13337.761541016273,6881.491344873502,10109.626442944887
"Primary somatosensory area, unassigned, layer 5",2055.0,1418.0,3473.0,0.129125,0.1288125,0.2579375,15914.81122942885,11008.248423095583,13461.529826262216
"Primary somatosensory area, unassigned, layer 6a",2162.0,958.0,3120.0,0.146953125,0.147421875,0.294375,14712.174375332272,6498.357180710122,10605.265778021196
"Primary somatosensory area, unassigned, layer 6b",103.0,63.0,166.0,0.0124375,0.0121875,0.024625,8281.407035175878,5169.230769230769,6725.318902203324
Supplemental somatosensory area,79025.0,23933.0,102958.0,4.512671875,4.510578125,9.02325,17511.798373330657,5305.971726185321,11408.88504975799
"Supplemental somatosensory area, layer 1",9299.0,2128.0,11427.0,0.624,0.623453125,1.247453125,14902.24358974359,3413.2477882759827,9157.745689009786
"Supplemental somatosensory area, layer 2/3",18788.0,5440.0,24228.0,1.072484375,1.07234375,2.144828125,17518.20393653754,5073.000145708874,11295.602041123206
"Supplemental somatosensory area, layer 4",14950.0,2839.0,17789.0,0.5831875,0.58265625,1.16584375,25634.980173614837,4872.512737999464,15253.74645580715
"Supplemental somatosensory area, layer 5",20755.0,6667.0,27422.0,1.092734375,1.09278125,2.185515625,18993.63694859512,6100.946552660928,12547.291750628025
"Supplemental somatosensory area, layer 6a",14123.0,6258.0,20381.0,1.037703125,1.03634375,2.0740468749999996,13609.865538373511,6038.536923680005,9824.201231026758
"Supplemental somatosensory area, layer 6b",1110.0,601.0,1711.0,0.1025625,0.103,0.20556249999999998,10822.669104204751,5834.95145631068,8328.810280257716
Gustatory areas,12697.0,5988.0,18685.0,0.884859375,0.883828125,1.7686875,14349.172714590948,6775.072924953593,10562.12281977227
"Gustatory areas, layer 1",1495.0,620.0,2115.0,0.0978125,0.098875,0.19668750000000002,15284.345047923323,6270.543615676359,10777.444331799841
"Gustatory areas, layer 2/3",2325.0,1023.0,3348.0,0.20109375,0.201015625,0.402109375,11561.771561771562,5089.156626506024,8325.464094138793
"Gustatory areas, layer 4",984.0,643.0,1627.0,0.0735,0.073796875,0.147296875,13387.755102040815,8713.1060766462,11050.430589343508
"Gustatory areas, layer 5",4788.0,2427.0,7215.0,0.272515625,0.272171875,0.5446875,17569.634768648586,8917.159423617888,13243.397096133238
"Gustatory areas, layer 6a",2979.0,1271.0,4250.0,0.219875,0.2186875,0.43856249999999997,13548.607163160888,5811.946270362961,9680.276716761924
"Gustatory areas, layer 6b",126.0,4.0,130.0,0.0200625,0.01928125,0.03934375,6280.373831775701,207.45542949756887,3243.9146306366347
Visceral area,16028.0,6971.0,22999.0,1.177078125,1.17634375,2.353421875,13616.768215788568,5925.988895677815,9771.378555733192
"Visceral area, layer 1",1688.0,506.0,2194.0,0.171578125,0.16690625,0.338484375,9838.08396320918,3031.642014604007,6434.862988906593
"Visceral area, layer 2/3",3603.0,1193.0,4796.0,0.268859375,0.271078125,0.5399375,13401.057709071889,4400.94529944089,8901.00150425639
"Visceral area, layer 4",1640.0,609.0,2249.0,0.09134375,0.091109375,0.182453125,17954.156688333904,6684.273709483793,12319.215198908849
"Visceral area, layer 5",5626.0,2681.0,8307.0,0.35340625,0.35278125,0.7061875,15919.356264921746,7599.610240056692,11759.483252489219
"Visceral area, layer 6a",3229.0,1935.0,5164.0,0.267125,0.269078125,0.536203125,12087.973795039776,7191.2200220660825,9639.596908552929
"Visceral area, layer 6b",242.0,47.0,289.0,0.024765625,0.025390625,0.05015625,9771.608832807571,1851.076923076923,5811.3428779422475
Auditory areas,79799.0,48394.0,128193.0,2.903578125,2.89728125,5.800859375,27482.987047231592,16703.245499552384,22093.11627339199
Dorsal auditory area,16046.0,8193.0,24239.0,0.607375,0.60696875,1.2143437499999998,26418.60465116279,13498.223755341607,19958.4142032522
"Dorsal auditory area, layer 1",1705.0,620.0,2325.0,0.098125,0.09871875,0.19684374999999998,17375.79617834395,6280.4685026907255,11828.132340517337
"Dorsal auditory area, layer 2/3",4019.0,2253.0,6272.0,0.164,0.163453125,0.327453125,24506.09756097561,13783.768282190997,19144.932921583302
"Dorsal auditory area, layer 4",3345.0,1331.0,4676.0,0.06609375,0.066390625,0.132484375,50609.92907801418,20048.011296775712,35328.970187394945
"Dorsal auditory area, layer 5",4720.0,2309.0,7029.0,0.17165625,0.17121875,0.34287500000000004,27496.81412707081,13485.67256798686,20491.243347528834
"Dorsal auditory area, layer 6a",1815.0,1354.0,3169.0,0.092265625,0.092140625,0.18440625,19671.46486028789,14694.92962523317,17183.19724276053
"Dorsal auditory area, layer 6b",442.0,326.0,768.0,0.015234375,0.015046875,0.03028125,29013.333333333336,21665.6282450675,25339.480789200417
Primary auditory area,32199.0,20025.0,52224.0,1.07671875,1.07509375,2.1518125,29904.745319982587,18626.28259163445,24265.513955808517
"Primary auditory area, layer 1",3614.0,947.0,4561.0,0.18984375,0.1886875,0.37853125,19036.70781893004,5018.880423981451,12027.794121455747
"Primary auditory area, layer 2/3",7341.0,4241.0,11582.0,0.235625,0.23571875,0.47134375,31155.43766578249,17991.780458703433,24573.609062242962
"Primary auditory area, layer 4",6280.0,3560.0,9840.0,0.117375,0.117359375,0.234734375,53503.72736954207,30334.17654107309,41918.95195530758
"Primary auditory area, layer 5",10178.0,7305.0,17483.0,0.3574375,0.35709375,0.7145312500000001,28474.908200734397,20456.812811761614,24465.860506248006
"Primary auditory area, layer 6a",3880.0,3302.0,7182.0,0.149203125,0.14903125,0.298234375,26004.81725835166,22156.426923883413,24080.622091117537
"Primary auditory area, layer 6b",906.0,670.0,1576.0,0.027234375,0.027203125,0.0544375,33266.78141135972,24629.523262492818,28948.15233692627
Posterior auditory area,9790.0,4369.0,14159.0,0.306625,0.3053125,0.6119375,31928.251121076235,14309.92835209826,23119.089736587248
"Posterior auditory area, layer 1",1090.0,442.0,1532.0,0.056703125,0.056125,0.112828125,19222.92642601268,7875.278396436525,13549.102411224603
"Posterior auditory area, layer 2/3",2653.0,1461.0,4114.0,0.073265625,0.07325,0.14651562499999998,36210.70590744295,19945.392491467577,28078.049199455265
"Posterior auditory area, layer 4",2115.0,580.0,2695.0,0.0373125,0.0371875,0.0745,56683.417085427136,15596.638655462186,36140.02787044466
"Posterior auditory area, layer 5",2632.0,963.0,3595.0,0.0906875,0.090703125,0.181390625,29022.74293590627,10617.054263565891,19819.89859973608
"Posterior auditory area, layer 6a",1002.0,718.0,1720.0,0.039578125,0.0393125,0.07889062499999999,25317.01539676273,18263.910969793324,21790.46318327803
"Posterior auditory area, layer 6b",298.0,205.0,503.0,0.009078125,0.008734375,0.017812500000000002,32826.16179001721,23470.483005366725,28148.32239769197
Ventral auditory area,21764.0,15807.0,37571.0,0.912859375,0.90990625,1.8227656250000002,23841.56924498913,17372.119380430675,20606.8443127099
"Ventral auditory area, layer 1",3443.0,746.0,4189.0,0.145921875,0.14425,0.29017187499999997,23594.817432273263,5171.5771230502605,14383.197277661762
"Ventral auditory area, layer 2/3",3980.0,2731.0,6711.0,0.19434375,0.1919375,0.38628125,20479.176716513903,14228.59003581895,17353.88337616643
"Ventral auditory area, layer 4",3457.0,2785.0,6242.0,0.10675,0.107203125,0.213953125,32384.074941451992,25978.720303162805,29181.3976223074
"Ventral auditory area, layer 5",6742.0,5741.0,12483.0,0.30221875,0.302015625,0.604234375,22308.344535208355,19008.950281959747,20658.647408584053
"Ventral auditory area, layer 6a",3699.0,3441.0,7140.0,0.141671875,0.141203125,0.282875,26109.628322488144,24369.149053889563,25239.388688188854
"Ventral auditory area, layer 6b",443.0,363.0,806.0,0.021953125,0.023296875,0.04525,20179.35943060498,15581.48893360161,17880.424182103296
Visual areas,158703.0,63612.0,222315.0,6.73221875,6.726890625,13.459109375,23573.654673654208,9456.374950350852,16515.01481200253
Anterolateral visual area,11930.0,4575.0,16505.0,0.37953125,0.377265625,0.756796875,31433.51173322355,12126.73431352247,21780.12302337301
"Anterolateral visual area, layer 1",1484.0,238.0,1722.0,0.058921875,0.058296875,0.11721875,25185.892336250334,4082.551594746717,14634.221965498526
"Anterolateral visual area, layer 2/3",3280.0,1127.0,4407.0,0.099625,0.09903125,0.19865625,32923.46298619824,11380.246134427263,22151.85456031275
"Anterolateral visual area, layer 4",2494.0,820.0,3314.0,0.051671875,0.0520625,0.10373437499999999,48266.102207438766,15750.30012004802,32008.201163743393
"Anterolateral visual area, layer 5",3007.0,1377.0,4384.0,0.101765625,0.10153125,0.203296875,29548.288039306004,13562.326869806093,21555.30745455605
"Anterolateral visual area, layer 6a",1347.0,819.0,2166.0,0.0563125,0.055359375,0.111671875,23920.088790233072,14794.24216765453,19357.1654789438
"Anterolateral visual area, layer 6b",318.0,194.0,512.0,0.011234375,0.010984375,0.02221875,28305.980528511824,17661.45092460882,22983.715726560324
Anteromedial visual area,8476.0,3639.0,12115.0,0.3951875,0.395453125,0.790640625,21448.04681322157,9202.102019044609,15325.074416133088
"Anteromedial visual area, layer 1",1040.0,275.0,1315.0,0.066859375,0.067546875,0.13440625,15555.036223416686,4071.246819338422,9813.141521377554
"Anteromedial visual area, layer 2/3",2592.0,1272.0,3864.0,0.104,0.103828125,0.20782812499999997,24923.07692307693,12251.015801354402,18587.046362215668
"Anteromedial visual area, layer 4",823.0,312.0,1135.0,0.030171875,0.030125,0.060296875,27277.05851890212,10356.846473029043,18816.952495965583
"Anteromedial visual area, layer 5",2387.0,1025.0,3412.0,0.11375,0.11346875,0.22721875,20984.615384615383,9033.32415312586,15008.969768870622
"Anteromedial visual area, layer 6a",1370.0,603.0,1973.0,0.067796875,0.068171875,0.13596875000000003,20207.421064761464,8845.289938115975,14526.35550143872
"Anteromedial visual area, layer 6b",264.0,152.0,416.0,0.012609375,0.0123125,0.024921875000000003,20936.80297397769,12345.17766497462,16640.990319476157
Lateral visual area,21098.0,7415.0,28513.0,0.61309375,0.612828125,1.225921875,34412.35536979459,12099.640498712426,23255.997934253508
"Lateral visual area, layer 1",3006.0,958.0,3964.0,0.0928125,0.09240625,0.18521875,32387.878787878784,10367.264119039568,21377.571453459175
"Lateral visual area, layer 2/3",5804.0,2212.0,8016.0,0.150609375,0.150921875,0.30153125000000003,38536.77767403258,14656.589709079612,26596.683691556096
"Lateral visual area, layer 4",4558.0,948.0,5506.0,0.089640625,0.089609375,0.17925000000000002,50847.481261983616,10579.250217959894,30713.365739971756
"Lateral visual area, layer 5",4503.0,1976.0,6479.0,0.157,0.15721875,0.31421875,28681.528662420384,12568.475452196382,20625.002057308382
"Lateral visual area, layer 6a",2717.0,1233.0,3950.0,0.10353125,0.10365625,0.20718750000000002,26243.28403259885,11895.085921012964,19069.184976805907
"Lateral visual area, layer 6b",510.0,88.0,598.0,0.0195,0.019015625,0.038515625,26153.846153846152,4627.773212818405,15390.809683332278
Primary visual area,76724.0,27767.0,104491.0,3.537703125,3.535171875,7.072875,21687.517942874303,7854.49788067235,14771.007911773326
"Primary visual area, layer 1",10005.0,3265.0,13270.0,0.630546875,0.631125,1.261671875,15867.178788254245,5173.301643889879,10520.240216072063
"Primary visual area, layer 2/3",22010.0,7078.0,29088.0,0.99971875,1.000015625,1.999734375,22016.19205401519,7077.889407978,14547.040730996596
"Primary visual area, layer 4",14807.0,4484.0,19291.0,0.5121875,0.5121875,1.024375,28909.334960341672,8754.606467358144,18831.970713849907
"Primary visual area, layer 5",17111.0,7528.0,24639.0,0.776203125,0.77603125,1.5522343749999998,22044.487388529906,9700.6402770507,15872.563832790303
"Primary visual area, layer 6a",11141.0,4821.0,15962.0,0.534015625,0.53453125,1.068546875,20862.68543172309,9019.117217187955,14940.901324455523
"Primary visual area, layer 6b",1650.0,591.0,2241.0,0.08503125,0.08128125,0.1663125,19404.63065049614,7271.049596309112,13337.840123402626
Posterolateral visual area,6043.0,2947.0,8990.0,0.397140625,0.39575,0.7928906250000001,15216.272573474444,7446.620341124448,11331.446457299446
"Posterolateral visual area, layer 1",1087.0,387.0,1474.0,0.0949375,0.094359375,0.18929687499999998,11449.637919684004,4101.341281669151,7775.4896006765775
"Posterolateral visual area, layer 2/3",1083.0,864.0,1947.0,0.104203125,0.10425,0.208453125,10393.162393162394,8287.769784172662,9340.466088667528
"Posterolateral visual area, layer 4",421.0,207.0,628.0,0.0181875,0.017875,0.0360625,23147.766323024058,11580.41958041958,17364.092951721817
"Posterolateral visual area, layer 5",2353.0,1046.0,3399.0,0.121671875,0.121453125,0.24312499999999998,19338.89816360601,8612.376173935418,13975.637168770714
"Posterolateral visual area, layer 6a",1034.0,432.0,1466.0,0.05375,0.05359375,0.10734375,19237.20930232558,8060.641399416909,13648.925350871245
"Posterolateral visual area, layer 6b",65.0,11.0,76.0,0.004390625,0.00421875,0.008609375,14804.27046263345,2607.4074074074074,8705.838935020429
posteromedial visual area,11889.0,3954.0,15843.0,0.522125,0.522546875,1.044671875,22770.40938472588,7566.785276440512,15168.597330583196
"posteromedial visual area, layer 1",1930.0,293.0,2223.0,0.0939375,0.094328125,0.188265625,20545.5755156354,3106.178565512672,11825.877040574036
"posteromedial visual area, layer 2/3",3464.0,1497.0,4961.0,0.14671875,0.1465625,0.29328125000000005,23609.797657082,10214.072494669508,16911.935075875754
"posteromedial visual area, layer 4",1485.0,366.0,1851.0,0.049328125,0.04925,0.098578125,30104.52961672474,7431.472081218274,18768.000848971507
"posteromedial visual area, layer 5",3298.0,1124.0,4422.0,0.14246875,0.143078125,0.285546875,23148.936170212764,7855.847985147974,15502.39207768037
"posteromedial visual area, layer 6a",1431.0,544.0,1975.0,0.075359375,0.075609375,0.15096875,18989.01098901099,7194.874974168216,13091.942981589602
"posteromedial visual area, layer 6b",281.0,130.0,411.0,0.0143125,0.01371875,0.02803125,19633.187772925765,9476.082004555808,14554.634888740788
Laterointermediate area,7605.0,3253.0,10858.0,0.246234375,0.24634375,0.492578125,30885.208452312963,13205.124952429278,22045.16670237112
"Laterointermediate area, layer 1",1008.0,433.0,1441.0,0.03734375,0.0373125,0.07465625000000001,26992.46861924686,11604.690117252932,19298.5793682499
"Laterointermediate area, layer 2/3",2092.0,755.0,2847.0,0.05871875,0.0584375,0.11715625,35627.46141564662,12919.786096256685,24273.623755951652
"Laterointermediate area, layer 4",1221.0,362.0,1583.0,0.02853125,0.028546875,0.057078125,42795.18072289157,12680.897646414887,27738.03918465323
"Laterointermediate area, layer 5",1939.0,954.0,2893.0,0.07396875,0.074296875,0.148265625,26213.77270806929,12840.3785488959,19527.075628482595
"Laterointermediate area, layer 6a",1108.0,712.0,1820.0,0.03984375,0.03953125,0.079375,27808.627450980395,18011.06719367589,22909.847322328143
"Laterointermediate area, layer 6b",237.0,37.0,274.0,0.007828125,0.00821875,0.016046875000000002,30275.449101796406,4501.90114068441,17388.67512124041
Postrhinal area,14938.0,10062.0,25000.0,0.641203125,0.64153125,1.282734375,23296.829690279505,15684.34896975011,19490.58933001481
"Postrhinal area, layer 1",2924.0,1078.0,4002.0,0.12509375,0.1253125,0.25040625,23374.46914813889,8602.493765586036,15988.481456862464
"Postrhinal area, layer 2/3",3621.0,3441.0,7062.0,0.186953125,0.18690625,0.373859375,19368.491433347263,18410.29928105668,18889.39535720197
"Postrhinal area, layer 4",1090.0,480.0,1570.0,0.03025,0.03025,0.0605,36033.05785123967,15867.768595041323,25950.413223140495
"Postrhinal area, layer 5",4497.0,3369.0,7866.0,0.192390625,0.19259375,0.38498437500000005,23374.31982457565,17492.77949050787,20433.54965754176
"Postrhinal area, layer 6a",2474.0,1635.0,4109.0,0.090234375,0.09009375,0.180328125,27417.489177489177,18147.7627471384,22782.62596231379
"Postrhinal area, layer 6b",332.0,59.0,391.0,0.01628125,0.016375,0.03265625,20391.5547024952,3603.053435114504,11997.304068804851
Anterior cingulate area,53423.0,32515.0,85938.0,2.754296875,2.78553125,5.539828125,19396.23883137144,11672.818246070656,15534.528538721048
"Anterior cingulate area, dorsal part",26213.0,18877.0,45090.0,1.556421875,1.573359375,3.1297812499999997,16841.834737127425,11997.894632305475,14419.86468471645
"Anterior cingulate area, dorsal part, layer 1",4708.0,4212.0,8920.0,0.289625,0.306203125,0.595828125,16255.502805351747,13755.574832882585,15005.538819117166
"Anterior cingulate area, dorsal part, layer 2/3",7098.0,4167.0,11265.0,0.304125,0.30678125,0.61090625,23339.08754623921,13582.968320260772,18461.027933249992
"Anterior cingulate area, dorsal part, layer 5",10049.0,7212.0,17261.0,0.600515625,0.59771875,1.198234375,16733.952592823876,12065.875464003764,14399.91402841382
"Anterior cingulate area, dorsal part, layer 6a",4229.0,3173.0,7402.0,0.349875,0.3501875,0.7000625,12087.173990710968,9060.86025343566,10574.017122073314
"Anterior cingulate area, dorsal part, layer 6b",129.0,113.0,242.0,0.01228125,0.01246875,0.02475,10503.81679389313,9062.65664160401,9783.236717748568
