id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3),side,total_volume
66,"Primary somatosensory area, lower limb, layer 1",SSp-ll1,65.0,9.0,2792.0,0.149265625,18704.909452528,left,4382.434796875
67,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,65.0,9.0,4154.0,0.32325,12850.734725444703,left,4382.434796875
68,"Primary somatosensory area, lower limb, layer 4",SSp-ll4,65.0,9.0,4098.0,0.1366875,29980.79561042524,left,4382.434796875
69,"Primary somatosensory area, lower limb, layer 5",SSp-ll5,65.0,9.0,6382.0,0.278,22956.834532374098,left,4382.434796875
70,"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,65.0,9.0,3605.0,0.263890625,13660.962756823968,left,4382.434796875
71,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,65.0,9.0,338.0,0.025390625,13312.0,left,4382.434796875
72,"Primary somatosensory area, mouth",SSp-m,37.0,8.0,46128.0,3.105328125,14854.468881609731,left,4382.434796875
73,"Primary somatosensory area, mouth, layer 1",SSp-m1,72.0,9.0,9075.0,0.3904375,23243.156715223307,left,4382.434796875
74,"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,72.0,9.0,7948.0,0.7490625,10610.596579057155,left,4382.434796875
75,"Primary somatosensory area, mouth, layer 4",SSp-m4,72.0,9.0,7500.0,0.4736875,15833.223380393192,left,4382.434796875
76,"Primary somatosensory area, mouth, layer 5",SSp-m5,72.0,9.0,8664.0,0.60871875,14233.174187586632,left,4382.434796875
77,"Primary somatosensory area, mouth, layer 6a",SSp-m6a,72.0,9.0,12510.0,0.82609375,15143.559674673728,left,4382.434796875
78,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,72.0,9.0,431.0,0.057328125,7518.124829653857,left,4382.434796875
79,"Primary somatosensory area, upper limb",SSp-ul,37.0,8.0,29558.0,1.88471875,15682.976571438046,left,4382.434796875
80,"Primary somatosensory area, upper limb, layer 1",SSp-ul1,79.0,9.0,5334.0,0.230640625,23126.88842219362,left,4382.434796875
81,"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,79.0,9.0,6708.0,0.4891875,13712.533537753929,left,4382.434796875
82,"Primary somatosensory area, upper limb, layer 4",SSp-ul4,79.0,9.0,5249.0,0.261640625,20061.869214690956,left,4382.434796875
83,"Primary somatosensory area, upper limb, layer 5",SSp-ul5,79.0,9.0,6085.0,0.395625,15380.726698262242,left,4382.434796875
84,"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,79.0,9.0,5898.0,0.470546875,12534.351652000663,left,4382.434796875
85,"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,79.0,9.0,284.0,0.037078125,7659.502739148756,left,4382.434796875
86,"Primary somatosensory area, trunk",SSp-tr,37.0,8.0,14310.0,0.700375,20431.911475995003,left,4382.434796875
87,"Primary somatosensory area, trunk, layer 1",SSp-tr1,86.0,9.0,1537.0,0.10228125,15027.192178429576,left,4382.434796875
88,"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3,86.0,9.0,3320.0,0.21225,15641.931684334511,left,4382.434796875
89,"Primary somatosensory area, trunk, layer 4",SSp-tr4,86.0,9.0,2350.0,0.07596875,30933.7721102427,left,4382.434796875
90,"Primary somatosensory area, trunk, layer 5",SSp-tr5,86.0,9.0,4172.0,0.17646875,23641.579599787496,left,4382.434796875
91,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,86.0,9.0,2491.0,0.11621875,21433.718741597204,left,4382.434796875
92,"Primary somatosensory area, trunk, layer 6b",SSp-tr6b,86.0,9.0,440.0,0.0171875,25600.0,left,4382.434796875
93,"Primary somatosensory area, unassigned",SSp-un,37.0,8.0,8366.0,0.63115625,13255.037876912413,left,4382.434796875
94,"Primary somatosensory area, unassigned, layer 1",SSp-un1,93.0,9.0,839.0,0.08315625,10089.440060127772,left,4382.434796875
95,"Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3,93.0,9.0,1952.0,0.165390625,11802.36183278224,left,4382.434796875
96,"Primary somatosensory area, unassigned, layer 4",SSp-un4,93.0,9.0,1255.0,0.09409375,13337.761541016273,left,4382.434796875
97,"Primary somatosensory area, unassigned, layer 5",SSp-un5,93.0,9.0,2055.0,0.129125,15914.81122942885,left,4382.434796875
98,"Primary somatosensory area, unassigned, layer 6a",SSp-un6a,93.0,9.0,2162.0,0.146953125,14712.174375332272,left,4382.434796875
99,"Primary somatosensory area, unassigned, layer 6b",SSp-un6b,93.0,9.0,103.0,0.0124375,8281.407035175878,left,4382.434796875
100,Supplemental somatosensory area,SSs,30.0,7.0,79025.0,4.512671875,17511.798373330657,left,4382.434796875
101,"Supplemental somatosensory area, layer 1",SSs1,100.0,8.0,9299.0,0.624,14902.24358974359,left,4382.434796875
102,"Supplemental somatosensory area, layer 2/3",SSs2/3,100.0,8.0,18788.0,1.072484375,17518.20393653754,left,4382.434796875
103,"Supplemental somatosensory area, layer 4",SSs4,100.0,8.0,14950.0,0.5831875,25634.980173614837,left,4382.434796875
104,"Supplemental somatosensory area, layer 5",SSs5,100.0,8.0,20755.0,1.092734375,18993.63694859512,left,4382.434796875
105,"Supplemental somatosensory area, layer 6a",SSs6a,100.0,8.0,14123.0,1.037703125,13609.865538373511,left,4382.434796875
106,"Supplemental somatosensory area, layer 6b",SSs6b,100.0,8.0,1110.0,0.1025625,10822.669104204751,left,4382.434796875
107,Gustatory areas,GU,5.0,6.0,12697.0,0.884859375,14349.172714590948,left,4382.434796875
108,"Gustatory areas, layer 1",GU1,107.0,7.0,1495.0,0.0978125,15284.345047923323,left,4382.434796875
109,"Gustatory areas, layer 2/3",GU2/3,107.0,7.0,2325.0,0.20109375,11561.771561771562,left,4382.434796875
110,"Gustatory areas, layer 4",GU4,107.0,7.0,984.0,0.0735,13387.755102040815,left,4382.434796875
111,"Gustatory areas, layer 5",GU5,107.0,7.0,4788.0,0.272515625,17569.634768648586,left,4382.434796875
112,"Gustatory areas, layer 6a",GU6a,107.0,7.0,2979.0,0.219875,13548.607163160888,left,4382.434796875
113,"Gustatory areas, layer 6b",GU6b,107.0,7.0,126.0,0.0200625,6280.373831775701,left,4382.434796875
114,Visceral area,VISC,5.0,6.0,16028.0,1.177078125,13616.768215788568,left,4382.434796875
115,"Visceral area, layer 1",VISC1,114.0,7.0,1688.0,0.171578125,9838.08396320918,left,4382.434796875
116,"Visceral area, layer 2/3",VISC2/3,114.0,7.0,3603.0,0.268859375,13401.057709071889,left,4382.434796875
117,"Visceral area, layer 4",VISC4,114.0,7.0,1640.0,0.09134375,17954.156688333904,left,4382.434796875
118,"Visceral area, layer 5",VISC5,114.0,7.0,5626.0,0.35340625,15919.356264921746,left,4382.434796875
119,"Visceral area, layer 6a",VISC6a,114.0,7.0,3229.0,0.267125,12087.973795039776,left,4382.434796875
120,"Visceral area, layer 6b",VISC6b,114.0,7.0,242.0,0.024765625,9771.608832807571,left,4382.434796875
121,Auditory areas,AUD,5.0,6.0,79799.0,2.903578125,27482.987047231592,left,4382.434796875
122,Dorsal auditory area,AUDd,121.0,7.0,16046.0,0.607375,26418.60465116279,left,4382.434796875
123,"Dorsal auditory area, layer 1",AUDd1,122.0,8.0,1705.0,0.098125,17375.79617834395,left,4382.434796875
124,"Dorsal auditory area, layer 2/3",AUDd2/3,122.0,8.0,4019.0,0.164,24506.09756097561,left,4382.434796875
125,"Dorsal auditory area, layer 4",AUDd4,122.0,8.0,3345.0,0.06609375,50609.92907801418,left,4382.434796875
126,"Dorsal auditory area, layer 5",AUDd5,122.0,8.0,4720.0,0.17165625,27496.81412707081,left,4382.434796875
127,"Dorsal auditory area, layer 6a",AUDd6a,122.0,8.0,1815.0,0.092265625,19671.46486028789,left,4382.434796875
128,"Dorsal auditory area, layer 6b",AUDd6b,122.0,8.0,442.0,0.015234375,29013.333333333336,left,4382.434796875
136,Primary auditory area,AUDp,121.0,7.0,32199.0,1.07671875,29904.745319982587,left,4382.434796875
137,"Primary auditory area, layer 1",AUDp1,136.0,8.0,3614.0,0.18984375,19036.70781893004,left,4382.434796875
138,"Primary auditory area, layer 2/3",AUDp2/3,136.0,8.0,7341.0,0.235625,31155.43766578249,left,4382.434796875
139,"Primary auditory area, layer 4",AUDp4,136.0,8.0,6280.0,0.117375,53503.72736954207,left,4382.434796875
140,"Primary auditory area, layer 5",AUDp5,136.0,8.0,10178.0,0.3574375,28474.908200734397,left,4382.434796875
141,"Primary auditory area, layer 6a",AUDp6a,136.0,8.0,3880.0,0.149203125,26004.81725835166,left,4382.434796875
142,"Primary auditory area, layer 6b",AUDp6b,136.0,8.0,906.0,0.027234375,33266.78141135972,left,4382.434796875
143,Posterior auditory area,AUDpo,121.0,7.0,9790.0,0.306625,31928.251121076235,left,4382.434796875
144,"Posterior auditory area, layer 1",AUDpo1,143.0,8.0,1090.0,0.056703125,19222.92642601268,left,4382.434796875
145,"Posterior auditory area, layer 2/3",AUDpo2/3,143.0,8.0,2653.0,0.073265625,36210.70590744295,left,4382.434796875
146,"Posterior auditory area, layer 4",AUDpo4,143.0,8.0,2115.0,0.0373125,56683.417085427136,left,4382.434796875
147,"Posterior auditory area, layer 5",AUDpo5,143.0,8.0,2632.0,0.0906875,29022.74293590627,left,4382.434796875
148,"Posterior auditory area, layer 6a",AUDpo6a,143.0,8.0,1002.0,0.039578125,25317.01539676273,left,4382.434796875
149,"Posterior auditory area, layer 6b",AUDpo6b,143.0,8.0,298.0,0.009078125,32826.16179001721,left,4382.434796875
150,Ventral auditory area,AUDv,121.0,7.0,21764.0,0.912859375,23841.56924498913,left,4382.434796875
151,"Ventral auditory area, layer 1",AUDv1,150.0,8.0,3443.0,0.145921875,23594.817432273263,left,4382.434796875
152,"Ventral auditory area, layer 2/3",AUDv2/3,150.0,8.0,3980.0,0.19434375,20479.176716513903,left,4382.434796875
153,"Ventral auditory area, layer 4",AUDv4,150.0,8.0,3457.0,0.10675,32384.074941451992,left,4382.434796875
154,"Ventral auditory area, layer 5",AUDv5,150.0,8.0,6742.0,0.30221875,22308.344535208355,left,4382.434796875
155,"Ventral auditory area, layer 6a",AUDv6a,150.0,8.0,3699.0,0.141671875,26109.628322488144,left,4382.434796875
156,"Ventral auditory area, layer 6b",AUDv6b,150.0,8.0,443.0,0.021953125,20179.35943060498,left,4382.434796875
157,Visual areas,VIS,5.0,6.0,158703.0,6.73221875,23573.654673654208,left,4382.434796875
164,Anterolateral visual area,VISal,157.0,7.0,11930.0,0.37953125,31433.51173322355,left,4382.434796875
165,"Anterolateral visual area, layer 1",VISal1,164.0,8.0,1484.0,0.058921875,25185.892336250334,left,4382.434796875
166,"Anterolateral visual area, layer 2/3",VISal2/3,164.0,8.0,3280.0,0.099625,32923.46298619824,left,4382.434796875
167,"Anterolateral visual area, layer 4",VISal4,164.0,8.0,2494.0,0.051671875,48266.102207438766,left,4382.434796875
168,"Anterolateral visual area, layer 5",VISal5,164.0,8.0,3007.0,0.101765625,29548.288039306004,left,4382.434796875
169,"Anterolateral visual area, layer 6a",VISal6a,164.0,8.0,1347.0,0.0563125,23920.088790233072,left,4382.434796875
170,"Anterolateral visual area, layer 6b",VISal6b,164.0,8.0,318.0,0.011234375,28305.980528511824,left,4382.434796875
171,Anteromedial visual area,VISam,157.0,7.0,8476.0,0.3951875,21448.04681322157,left,4382.434796875
172,"Anteromedial visual area, layer 1",VISam1,171.0,8.0,1040.0,0.066859375,15555.036223416686,left,4382.434796875
173,"Anteromedial visual area, layer 2/3",VISam2/3,171.0,8.0,2592.0,0.104,24923.07692307693,left,4382.434796875
174,"Anteromedial visual area, layer 4",VISam4,171.0,8.0,823.0,0.030171875,27277.05851890212,left,4382.434796875
175,"Anteromedial visual area, layer 5",VISam5,171.0,8.0,2387.0,0.11375,20984.615384615383,left,4382.434796875
176,"Anteromedial visual area, layer 6a",VISam6a,171.0,8.0,1370.0,0.067796875,20207.421064761464,left,4382.434796875
177,"Anteromedial visual area, layer 6b",VISam6b,171.0,8.0,264.0,0.012609375,20936.80297397769,left,4382.434796875
178,Lateral visual area,VISl,157.0,7.0,21098.0,0.61309375,34412.35536979459,left,4382.434796875
179,"Lateral visual area, layer 1",VISl1,178.0,8.0,3006.0,0.0928125,32387.878787878784,left,4382.434796875
180,"Lateral visual area, layer 2/3",VISl2/3,178.0,8.0,5804.0,0.150609375,38536.77767403258,left,4382.434796875
181,"Lateral visual area, layer 4",VISl4,178.0,8.0,4558.0,0.089640625,50847.481261983616,left,4382.434796875
182,"Lateral visual area, layer 5",VISl5,178.0,8.0,4503.0,0.157,28681.528662420384,left,4382.434796875
183,"Lateral visual area, layer 6a",VISl6a,178.0,8.0,2717.0,0.10353125,26243.28403259885,left,4382.434796875
184,"Lateral visual area, layer 6b",VISl6b,178.0,8.0,510.0,0.0195,26153.846153846152,left,4382.434796875
185,Primary visual area,VISp,157.0,7.0,76724.0,3.537703125,21687.517942874303,left,4382.434796875
186,"Primary visual area, layer 1",VISp1,185.0,8.0,10005.0,0.630546875,15867.178788254245,left,4382.434796875
187,"Primary visual area, layer 2/3",VISp2/3,185.0,8.0,22010.0,0.99971875,22016.19205401519,left,4382.434796875
188,"Primary visual area, layer 4",VISp4,185.0,8.0,14807.0,0.5121875,28909.334960341672,left,4382.434796875
189,"Primary visual area, layer 5",VISp5,185.0,8.0,17111.0,0.776203125,22044.487388529906,left,4382.434796875
190,"Primary visual area, layer 6a",VISp6a,185.0,8.0,11141.0,0.534015625,20862.68543172309,left,4382.434796875
191,"Primary visual area, layer 6b",VISp6b,185.0,8.0,1650.0,0.08503125,19404.63065049614,left,4382.434796875
192,Posterolateral visual area,VISpl,157.0,7.0,6043.0,0.397140625,15216.272573474444,left,4382.434796875
193,"Posterolateral visual area, layer 1",VISpl1,192.0,8.0,1087.0,0.0949375,11449.637919684004,left,4382.434796875
194,"Posterolateral visual area, layer 2/3",VISpl2/3,192.0,8.0,1083.0,0.104203125,10393.162393162394,left,4382.434796875
195,"Posterolateral visual area, layer 4",VISpl4,192.0,8.0,421.0,0.0181875,23147.766323024058,left,4382.434796875
196,"Posterolateral visual area, layer 5",VISpl5,192.0,8.0,2353.0,0.121671875,19338.89816360601,left,4382.434796875
197,"Posterolateral visual area, layer 6a",VISpl6a,192.0,8.0,1034.0,0.05375,19237.20930232558,left,4382.434796875
198,"Posterolateral visual area, layer 6b",VISpl6b,192.0,8.0,65.0,0.004390625,14804.27046263345,left,4382.434796875
199,posteromedial visual area,VISpm,157.0,7.0,11889.0,0.522125,22770.40938472588,left,4382.434796875
200,"posteromedial visual area, layer 1",VISpm1,199.0,8.0,1930.0,0.0939375,20545.5755156354,left,4382.434796875
201,"posteromedial visual area, layer 2/3",VISpm2/3,199.0,8.0,3464.0,0.14671875,23609.797657082,left,4382.434796875
202,"posteromedial visual area, layer 4",VISpm4,199.0,8.0,1485.0,0.049328125,30104.52961672474,left,4382.434796875
203,"posteromedial visual area, layer 5",VISpm5,199.0,8.0,3298.0,0.14246875,23148.936170212764,left,4382.434796875
204,"posteromedial visual area, layer 6a",VISpm6a,199.0,8.0,1431.0,0.075359375,18989.01098901099,left,4382.434796875
205,"posteromedial visual area, layer 6b",VISpm6b,199.0,8.0,281.0,0.0143125,19633.187772925765,left,4382.434796875
206,Laterointermediate area,VISli,157.0,7.0,7605.0,0.246234375,30885.208452312963,left,4382.434796875
207,"Laterointermediate area, layer 1",VISli1,206.0,8.0,1008.0,0.03734375,26992.46861924686,left,4382.434796875
208,"Laterointermediate area, layer 2/3",VISli2/3,206.0,8.0,2092.0,0.05871875,35627.46141564662,left,4382.434796875
209,"Laterointermediate area, layer 4",VISli4,206.0,8.0,1221.0,0.02853125,42795.18072289157,left,4382.434796875
210,"Laterointermediate area, layer 5",VISli5,206.0,8.0,1939.0,0.07396875,26213.77270806929,left,4382.434796875
211,"Laterointermediate area, layer 6a",VISli6a,206.0,8.0,1108.0,0.03984375,27808.627450980395,left,4382.434796875
212,"Laterointermediate area, layer 6b",VISli6b,206.0,8.0,237.0,0.007828125,30275.449101796406,left,4382.434796875
213,Postrhinal area,VISpor,157.0,7.0,14938.0,0.641203125,23296.829690279505,left,4382.434796875
214,"Postrhinal area, layer 1",VISpor1,213.0,8.0,2924.0,0.12509375,23374.46914813889,left,4382.434796875
215,"Postrhinal area, layer 2/3",VISpor2/3,213.0,8.0,3621.0,0.186953125,19368.491433347263,left,4382.434796875
216,"Postrhinal area, layer 4",VISpor4,213.0,8.0,1090.0,0.03025,36033.05785123967,left,4382.434796875
217,"Postrhinal area, layer 5",VISpor5,213.0,8.0,4497.0,0.192390625,23374.31982457565,left,4382.434796875
218,"Postrhinal area, layer 6a",VISpor6a,213.0,8.0,2474.0,0.090234375,27417.489177489177,left,4382.434796875
219,"Postrhinal area, layer 6b",VISpor6b,213.0,8.0,332.0,0.01628125,20391.5547024952,left,4382.434796875
220,Anterior cingulate area,ACA,5.0,6.0,53423.0,2.754296875,19396.23883137144,left,4382.434796875
226,"Anterior cingulate area, dorsal part",ACAd,220.0,7.0,26213.0,1.556421875,16841.834737127425,left,4382.434796875
227,"Anterior cingulate area, dorsal part, layer 1",ACAd1,226.0,8.0,4708.0,0.289625,16255.502805351747,left,4382.434796875
228,"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3,226.0,8.0,7098.0,0.304125,23339.08754623921,left,4382.434796875
229,"Anterior cingulate area, dorsal part, layer 5",ACAd5,226.0,8.0,10049.0,0.600515625,16733.952592823876,left,4382.434796875
230,"Anterior cingulate area, dorsal part, layer 6a",ACAd6a,226.0,8.0,4229.0,0.349875,12087.173990710968,left,4382.434796875
231,"Anterior cingulate area, dorsal part, layer 6b",ACAd6b,226.0,8.0,129.0,0.01228125,10503.81679389313,left,4382.434796875
232,"Anterior cingulate area, ventral part",ACAv,220.0,7.0,27210.0,1.197875,22715.22487738704,left,4382.434796875
233,"Anterior cingulate area, ventral part, layer 1",ACAv1,232.0,8.0,5885.0,0.23403125,25146.21444785686,left,4382.434796875
234,"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3,232.0,8.0,6653.0,0.24753125,26877.414467870218,left,4382.434796875
235,"Anterior cingulate area, ventral part, layer 5",ACAv5,232.0,8.0,11475.0,0.504171875,22760.095453559363,left,4382.434796875
236,"Anterior cingulate area, ventral part, 6a",ACAv6a,232.0,8.0,2797.0,0.181234375,15433.054573670144,left,4382.434796875
237,"Anterior cingulate area, ventral part, 6b",ACAv6b,232.0,8.0,400.0,0.03090625,12942.36602628918,left,4382.434796875
238,Prelimbic area,PL,5.0,6.0,22089.0,1.198703125,18427.4150449053,left,4382.434796875
239,"Prelimbic area, layer 1",PL1,238.0,7.0,4920.0,0.25490625,19301.21368150055,left,4382.434796875
241,"Prelimbic area, layer 2/3",PL2/3,238.0,7.0,4525.0,0.20753125,21803.945188977563,left,4382.434796875
242,"Prelimbic area, layer 5",PL5,238.0,7.0,10331.0,0.494078125,20909.648651212803,left,4382.434796875
243,"Prelimbic area, layer 6a",PL6a,238.0,7.0,2268.0,0.231484375,9797.63752953088,left,4382.434796875
244,"Prelimbic area, layer 6b",PL6b,238.0,7.0,45.0,0.010703125,4204.379562043795,left,4382.434796875
245,Infralimbic area,ILA,5.0,6.0,10498.0,0.419796875,25007.33241523058,left,4382.434796875
246,"Infralimbic area, layer 1",ILA1,245.0,7.0,1016.0,0.073140625,13891.04892117069,left,4382.434796875
248,"Infralimbic area, layer 2/3",ILA2/3,245.0,7.0,1906.0,0.0715625,26634.06113537118,left,4382.434796875
249,"Infralimbic area, layer 5",ILA5,245.0,7.0,5791.0,0.167359375,34602.184669965456,left,4382.434796875
250,"Infralimbic area, layer 6a",ILA6a,245.0,7.0,1776.0,0.102421875,17340.04576659039,left,4382.434796875
251,"Infralimbic area, layer 6b",ILA6b,245.0,7.0,9.0,0.0053125,1694.1176470588234,left,4382.434796875
252,Orbital area,ORB,5.0,6.0,63390.0,2.946921875,21510.580425549964,left,4382.434796875
258,"Orbital area, lateral part",ORBl,252.0,7.0,24506.0,1.36346875,17973.27588182714,left,4382.434796875
259,"Orbital area, lateral part, layer 1",ORBl1,258.0,8.0,2020.0,0.18784375,10753.618366328395,left,4382.434796875
260,"Orbital area, lateral part, layer 2/3",ORBl2/3,258.0,8.0,7545.0,0.31075,24279.967819790825,left,4382.434796875
261,"Orbital area, lateral part, layer 5",ORBl5,258.0,8.0,12084.0,0.603515625,20022.679611650485,left,4382.434796875
262,"Orbital area, lateral part, layer 6a",ORBl6a,258.0,8.0,2653.0,0.2386875,11114.951557999477,left,4382.434796875
263,"Orbital area, lateral part, layer 6b",ORBl6b,258.0,8.0,204.0,0.022671875,8997.932460372156,left,4382.434796875
264,"Orbital area, medial part",ORBm,252.0,7.0,16954.0,0.694828125,24400.278845937617,left,4382.434796875
265,"Orbital area, medial part, layer 1",ORBm1,264.0,8.0,4570.0,0.205578125,22229.99163943148,left,4382.434796875
267,"Orbital area, medial part, layer 2/3",ORBm2/3,264.0,8.0,4776.0,0.158234375,30183.074948158388,left,4382.434796875
268,"Orbital area, medial part, layer 5",ORBm5,264.0,8.0,6042.0,0.2359375,25608.476821192053,left,4382.434796875
269,"Orbital area, medial part, layer 6a",ORBm6a,264.0,8.0,1551.0,0.093203125,16641.072925398155,left,4382.434796875
270,"Orbital area, medial part, layer 6b",ORBm6b,264.0,8.0,15.0,0.001875,8000.0,left,4382.434796875
272,"Orbital area, ventrolateral part",ORBvl,252.0,7.0,21930.0,0.888625,24678.576452384303,left,4382.434796875
273,"Orbital area, ventrolateral part, layer 1",ORBvl1,272.0,8.0,3576.0,0.19271875,18555.53753851143,left,4382.434796875
274,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3,272.0,8.0,7895.0,0.26178125,30158.768055389755,left,4382.434796875
275,"Orbital area, ventrolateral part, layer 5",ORBvl5,272.0,8.0,8469.0,0.309953125,27323.48641427635,left,4382.434796875
276,"Orbital area, ventrolateral part, layer 6a",ORBvl6a,272.0,8.0,1950.0,0.119,16386.55462184874,left,4382.434796875
277,"Orbital area, ventrolateral part, layer 6b",ORBvl6b,272.0,8.0,40.0,0.005171875,7734.138972809667,left,4382.434796875
278,Agranular insular area,AI,5.0,6.0,55414.0,3.94978125,14029.637717278649,left,4382.434796875
279,"Agranular insular area, dorsal part",AId,278.0,7.0,22354.0,1.86365625,11994.701276053456,left,4382.434796875
280,"Agranular insular area, dorsal part, layer 1",AId1,279.0,8.0,1626.0,0.23034375,7059.015059015059,left,4382.434796875
281,"Agranular insular area, dorsal part, layer 2/3",AId2/3,279.0,8.0,6892.0,0.46315625,14880.50738816544,left,4382.434796875
