name,acronym,count_left,count_right,count_total,volume (mm^3)_left,volume (mm^3)_right,volume_total (mm^3),density (cells/mm^3)_left,density (cells/mm^3)_right,density_total (cells/mm^3),RGB,parent_region
Somatosensory areas,SS,277890.0,86033.0,363923.0,16.666171875,16.666015625,33.3321875,16673.895006257997,5162.181647720614,10918.038326989306,1B8061,Isocortex
Primary somatosensory area,SSp,198865.0,62100.0,260965.0,12.1535,12.1554375,24.3089375,16362.776155017074,5108.824754353762,10735.800454685415,198063,SS
"Primary somatosensory area, nose",SSp-n,21518.0,5123.0,26641.0,1.509703125,1.5095625,3.019265625,14253.133376802143,3393.698505361653,8823.415941081897,1A8064,SSp
"Primary somatosensory area, nose, layer 1",SSp-n1,3390.0,394.0,3784.0,0.2028125,0.202515625,0.405328125,16714.946070878275,1945.528894375434,9330.237482626855,197E63,SSp-n
"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,3555.0,543.0,4098.0,0.3201875,0.32015625,0.64034375,11102.86941245364,1696.046852122987,6399.458132288313,1B7F64,SSp-n
"Primary somatosensory area, nose, layer 4",SSp-n4,3858.0,225.0,4083.0,0.274109375,0.273953125,0.5480625,14074.673659009291,821.3083898933439,7447.991024451318,1A8062,SSp-n
"Primary somatosensory area, nose, layer 5",SSp-n5,4749.0,1945.0,6694.0,0.283515625,0.283515625,0.56703125,16750.39955910719,6860.2920914852575,11805.345825296225,197E62,SSp-n
"Primary somatosensory area, nose, layer 6a",SSp-n6a,5736.0,1881.0,7617.0,0.402328125,0.402546875,0.804875,14257.019690085051,4672.74773900555,9464.8837145453,187D62,SSp-n
"Primary somatosensory area, nose, layer 6b",SSp-n6b,230.0,135.0,365.0,0.02675,0.026875,0.053625,8598.130841121496,5023.2558139534885,6810.693327537492,1B7E64,SSp-n
"Primary somatosensory area, barrel field",SSp-bfd,57616.0,17815.0,75431.0,3.145734375,3.144515625,6.29025,18315.596020404617,5665.4194555004005,11990.507737952508,197F64,SSp
"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,6920.0,2164.0,9084.0,0.419375,0.41946875,0.83884375,16500.745156482863,5158.906354764211,10829.825755623537,188060,SSp-bfd
"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,9030.0,3138.0,12168.0,0.75821875,0.75809375,1.5163125000000002,11909.491818818777,4139.32973329486,8024.410776056819,187F63,SSp-bfd
"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,12936.0,1946.0,14882.0,0.641265625,0.641375,1.282640625,20172.607879924955,3034.106412005457,11603.357145965208,197C64,SSp-bfd
"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,13891.0,5023.0,18914.0,0.603984375,0.6041875,1.208171875,22998.939335144223,8313.644357091134,15656.291846117678,1A7D62,SSp-bfd
"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,13451.0,4973.0,18424.0,0.648828125,0.64875,1.297578125,20731.22215532812,7665.510597302504,14198.366376315313,198060,SSp-bfd
"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,1388.0,571.0,1959.0,0.0740625,0.072640625,0.146703125,18740.9282700422,7860.615186061518,13300.771728051855,1A7E61,SSp-bfd
"Primary somatosensory area, lower limb",SSp-ll,21369.0,9910.0,31279.0,1.176484375,1.17609375,2.352578125,18163.43714722093,8426.199016872593,13294.818082046762,197F63,SSp
"Primary somatosensory area, lower limb, layer 1",SSp-ll1,2792.0,782.0,3574.0,0.149265625,0.14996875,0.299234375,18704.909452528,5214.419670764743,11959.664561646372,187F60,SSp-ll
"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,4154.0,2394.0,6548.0,0.32325,0.32334375,0.64659375,12850.734725444703,7403.885184111337,10127.30995477802,187F64,SSp-ll
"Primary somatosensory area, lower limb, layer 4",SSp-ll4,4098.0,1673.0,5771.0,0.1366875,0.13634375,0.27303125,29980.79561042524,12270.45610818244,21125.62585930384,1C7F64,SSp-ll
"Primary somatosensory area, lower limb, layer 5",SSp-ll5,6382.0,2916.0,9298.0,0.278,0.2776875,0.5556875,22956.834532374098,10501.012829169482,16728.92368077179,197C63,SSp-ll
"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,3605.0,1966.0,5571.0,0.263890625,0.26378125,0.527671875,13660.962756823968,7453.145361923942,10557.054059373955,1A7F64,SSp-ll
"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,338.0,179.0,517.0,0.025390625,0.02496875,0.050359375,13312.0,7168.9612015018765,10240.480600750938,197F62,SSp-ll
"Primary somatosensory area, mouth",SSp-m,46128.0,7573.0,53701.0,3.105328125,3.1075,6.212828125,14854.468881609731,2437.007240547064,8645.738061078398,188062,SSp
"Primary somatosensory area, mouth, layer 1",SSp-m1,9075.0,559.0,9634.0,0.3904375,0.39221875,0.78265625,23243.156715223307,1425.2250816667995,12334.190898445053,187E61,SSp-m
"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,7948.0,892.0,8840.0,0.7490625,0.749703125,1.498765625,10610.596579057155,1189.8042975344406,5900.200438295798,1A7E64,SSp-m
"Primary somatosensory area, mouth, layer 4",SSp-m4,7500.0,548.0,8048.0,0.4736875,0.473421875,0.947109375,15833.223380393192,1157.5299514835474,8495.37666593837,1B7F62,SSp-m
"Primary somatosensory area, mouth, layer 5",SSp-m5,8664.0,2776.0,11440.0,0.60871875,0.60925,1.2179687499999998,14233.174187586632,4556.421830118999,9394.798008852817,1B7E63,SSp-m
"Primary somatosensory area, mouth, layer 6a",SSp-m6a,12510.0,2654.0,15164.0,0.82609375,0.8255625,1.6516562499999998,15143.559674673728,3214.777803013097,9179.168738843411,187D61,SSp-m
"Primary somatosensory area, mouth, layer 6b",SSp-m6b,431.0,144.0,575.0,0.057328125,0.05734375,0.114671875,7518.124829653857,2511.171662125341,5014.648245889599,188064,SSp-m
"Primary somatosensory area, upper limb",SSp-ul,29558.0,9239.0,38797.0,1.88471875,1.88615625,3.770875,15682.976571438046,4898.321652832315,10290.64911213518,187E63,SSp
"Primary somatosensory area, upper limb, layer 1",SSp-ul1,5334.0,811.0,6145.0,0.230640625,0.231265625,0.4619062499999999,23126.88842219362,3506.790081751233,13316.839251972428,197E64,SSp-ul
"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,6708.0,2140.0,8848.0,0.4891875,0.48934375,0.97853125,13712.533537753929,4373.203908295549,9042.868723024738,197F61,SSp-ul
"Primary somatosensory area, upper limb, layer 4",SSp-ul4,5249.0,1128.0,6377.0,0.261640625,0.261640625,0.52328125,20061.86921469096,4311.257091669155,12186.563153180055,1A7F63,SSp-ul
"Primary somatosensory area, upper limb, layer 5",SSp-ul5,6085.0,2711.0,8796.0,0.395625,0.3961875,0.7918125,15380.726698262242,6842.719671872535,11111.723185067389,187E62,SSp-ul
"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,5898.0,2241.0,8139.0,0.470546875,0.47053125,0.941078125,12534.351652000663,4762.701733413031,8648.526692706848,197D61,SSp-ul
"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,284.0,208.0,492.0,0.037078125,0.0371875,0.074265625,7659.502739148756,5593.27731092437,6626.390025036562,1C8064,SSp-ul
"Primary somatosensory area, trunk",SSp-tr,14310.0,8069.0,22379.0,0.700375,0.700359375,1.400734375,20431.911475995003,11521.227941012428,15976.569708503715,187F62,SSp
"Primary somatosensory area, trunk, layer 1",SSp-tr1,1537.0,555.0,2092.0,0.10228125,0.102109375,0.204390625,15027.192178429576,5435.348125478195,10231.270151953886,187C64,SSp-tr
"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3,3320.0,2010.0,5330.0,0.21225,0.211515625,0.423765625,15641.931684334511,9502.844057028884,12572.387870681698,188061,SSp-tr
"Primary somatosensory area, trunk, layer 4",SSp-tr4,2350.0,1235.0,3585.0,0.07596875,0.076625,0.15259375,30933.7721102427,16117.455138662315,23525.613624452508,1B7E62,SSp-tr
"Primary somatosensory area, trunk, layer 5",SSp-tr5,4172.0,2599.0,6771.0,0.17646875,0.176765625,0.353234375,23641.579599787496,14703.0849465217,19172.3322731546,197F60,SSp-tr
"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,2491.0,1401.0,3892.0,0.11621875,0.116234375,0.2324531249999999,21433.718741597204,12053.232961419546,16743.475851508374,188063,SSp-tr
"Primary somatosensory area, trunk, layer 6b",SSp-tr6b,440.0,269.0,709.0,0.0171875,0.017109375,0.034296875,25600.0,15722.374429223744,20661.187214611877,1A8063,SSp-tr
"Primary somatosensory area, unassigned",SSp-un,8366.0,4371.0,12737.0,0.63115625,0.63125,1.26240625,13255.037876912413,6924.3564356435645,10089.697156277987,1A7D64,SSp
"Primary somatosensory area, unassigned, layer 1",SSp-un1,839.0,317.0,1156.0,0.08315625,0.083015625,0.166171875,10089.440060127772,3818.5582533408624,6953.999156734317,1B8062,SSp-un
"Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3,1952.0,969.0,2921.0,0.165390625,0.1659375,0.331328125,11802.36183278224,5839.54802259887,8820.954927690556,1C7F63,SSp-un
"Primary somatosensory area, unassigned, layer 4",SSp-un4,1255.0,646.0,1901.0,0.09409375,0.093875,0.18796875,13337.761541016273,6881.491344873502,10109.626442944887,197E61,SSp-un
"Primary somatosensory area, unassigned, layer 5",SSp-un5,2055.0,1418.0,3473.0,0.129125,0.1288125,0.2579375,15914.81122942885,11008.248423095583,13461.529826262216,197D62,SSp-un
"Primary somatosensory area, unassigned, layer 6a",SSp-un6a,2162.0,958.0,3120.0,0.146953125,0.147421875,0.294375,14712.174375332272,6498.357180710122,10605.265778021196,1A7F61,SSp-un
"Primary somatosensory area, unassigned, layer 6b",SSp-un6b,103.0,63.0,166.0,0.0124375,0.0121875,0.024625,8281.407035175878,5169.230769230769,6725.318902203324,1A7D63,SSp-un
Supplemental somatosensory area,SSs,79025.0,23933.0,102958.0,4.512671875,4.510578125,9.02325,17511.798373330657,5305.971726185321,11408.88504975799,198062,SS
"Supplemental somatosensory area, layer 1",SSs1,9299.0,2128.0,11427.0,0.624,0.623453125,1.247453125,14902.24358974359,3413.2477882759827,9157.745689009786,1A7E62,SSs
"Supplemental somatosensory area, layer 2/3",SSs2/3,18788.0,5440.0,24228.0,1.072484375,1.07234375,2.144828125,17518.20393653754,5073.000145708874,11295.602041123206,1B8063,SSs
"Supplemental somatosensory area, layer 4",SSs4,14950.0,2839.0,17789.0,0.5831875,0.58265625,1.16584375,25634.98017361484,4872.512737999464,15253.74645580715,187C63,SSs
"Supplemental somatosensory area, layer 5",SSs5,20755.0,6667.0,27422.0,1.092734375,1.09278125,2.185515625,18993.63694859512,6100.946552660928,12547.291750628025,1C8063,SSs
"Supplemental somatosensory area, layer 6a",SSs6a,14123.0,6258.0,20381.0,1.037703125,1.03634375,2.074046875,13609.865538373511,6038.536923680005,9824.201231026758,197D63,SSs
"Supplemental somatosensory area, layer 6b",SSs6b,1110.0,601.0,1711.0,0.1025625,0.103,0.2055624999999999,10822.669104204751,5834.95145631068,8328.810280257716,1A8061,SSs
Gustatory areas,GU,12697.0,5988.0,18685.0,0.884859375,0.883828125,1.7686875,14349.172714590948,6775.072924953593,10562.12281977227,019B75,Isocortex
"Gustatory areas, layer 1",GU1,1495.0,620.0,2115.0,0.0978125,0.098875,0.1966875,15284.345047923323,6270.543615676359,10777.44433179984,009C75,GU
"Gustatory areas, layer 2/3",GU2/3,2325.0,1023.0,3348.0,0.20109375,0.201015625,0.402109375,11561.771561771562,5089.156626506024,8325.464094138793,009B75,GU
"Gustatory areas, layer 4",GU4,984.0,643.0,1627.0,0.0735,0.073796875,0.147296875,13387.755102040815,8713.1060766462,11050.430589343508,009C74,GU
"Gustatory areas, layer 5",GU5,4788.0,2427.0,7215.0,0.272515625,0.272171875,0.5446875,17569.634768648586,8917.159423617888,13243.397096133238,019C75,GU
"Gustatory areas, layer 6a",GU6a,2979.0,1271.0,4250.0,0.219875,0.2186875,0.4385624999999999,13548.607163160888,5811.946270362961,9680.276716761924,009B74,GU
"Gustatory areas, layer 6b",GU6b,126.0,4.0,130.0,0.0200625,0.01928125,0.03934375,6280.373831775701,207.45542949756887,3243.9146306366347,019C74,GU
Visceral area,VISC,16028.0,6971.0,22999.0,1.177078125,1.17634375,2.353421875,13616.768215788568,5925.988895677815,9771.378555733192,11AD83,Isocortex
"Visceral area, layer 1",VISC1,1688.0,506.0,2194.0,0.171578125,0.16690625,0.338484375,9838.08396320918,3031.642014604007,6434.862988906593,12AD83,VISC
"Visceral area, layer 2/3",VISC2/3,3603.0,1193.0,4796.0,0.268859375,0.271078125,0.5399375,13401.057709071889,4400.94529944089,8901.00150425639,12AC83,VISC
"Visceral area, layer 4",VISC4,1640.0,609.0,2249.0,0.09134375,0.091109375,0.182453125,17954.156688333904,6684.273709483793,12319.215198908849,11AC82,VISC
"Visceral area, layer 5",VISC5,5626.0,2681.0,8307.0,0.35340625,0.35278125,0.7061875,15919.356264921746,7599.610240056692,11759.48325248922,12AD82,VISC
"Visceral area, layer 6a",VISC6a,3229.0,1935.0,5164.0,0.267125,0.269078125,0.536203125,12087.973795039776,7191.2200220660825,9639.596908552929,11AC83,VISC
"Visceral area, layer 6b",VISC6b,242.0,47.0,289.0,0.024765625,0.025390625,0.05015625,9771.608832807571,1851.076923076923,5811.342877942248,11AD82,VISC
Auditory areas,AUD,79799.0,48394.0,128193.0,2.903578125,2.89728125,5.800859375,27482.987047231592,16703.245499552384,22093.11627339199,019299,Isocortex
Dorsal auditory area,AUDd,16046.0,8193.0,24239.0,0.607375,0.60696875,1.2143437499999998,26418.60465116279,13498.223755341607,19958.4142032522,049399,AUD
"Dorsal auditory area, layer 1",AUDd1,1705.0,620.0,2325.0,0.098125,0.09871875,0.1968437499999999,17375.79617834395,6280.4685026907255,11828.132340517335,039399,AUDd
"Dorsal auditory area, layer 2/3",AUDd2/3,4019.0,2253.0,6272.0,0.164,0.163453125,0.327453125,24506.09756097561,13783.768282190997,19144.932921583302,029397,AUDd
"Dorsal auditory area, layer 4",AUDd4,3345.0,1331.0,4676.0,0.06609375,0.066390625,0.132484375,50609.92907801418,20048.011296775712,35328.970187394945,039398,AUDd
"Dorsal auditory area, layer 5",AUDd5,4720.0,2309.0,7029.0,0.17165625,0.17121875,0.342875,27496.81412707081,13485.67256798686,20491.243347528834,029398,AUDd
"Dorsal auditory area, layer 6a",AUDd6a,1815.0,1354.0,3169.0,0.092265625,0.092140625,0.18440625,19671.46486028789,14694.92962523317,17183.19724276053,019399,AUDd
"Dorsal auditory area, layer 6b",AUDd6b,442.0,326.0,768.0,0.015234375,0.015046875,0.03028125,29013.333333333336,21665.6282450675,25339.480789200417,019398,AUDd
Primary auditory area,AUDp,32199.0,20025.0,52224.0,1.07671875,1.07509375,2.1518125,29904.745319982587,18626.28259163445,24265.51395580852,039297,AUD
"Primary auditory area, layer 1",AUDp1,3614.0,947.0,4561.0,0.18984375,0.1886875,0.37853125,19036.70781893004,5018.880423981451,12027.794121455749,029297,AUDp
"Primary auditory area, layer 2/3",AUDp2/3,7341.0,4241.0,11582.0,0.235625,0.23571875,0.47134375,31155.43766578249,17991.780458703433,24573.60906224296,019298,AUDp
"Primary auditory area, layer 4",AUDp4,6280.0,3560.0,9840.0,0.117375,0.117359375,0.234734375,53503.72736954207,30334.17654107309,41918.95195530758,039397,AUDp
"Primary auditory area, layer 5",AUDp5,10178.0,7305.0,17483.0,0.3574375,0.35709375,0.7145312500000001,28474.9082007344,20456.81281176161,24465.86050624801,039199,AUDp
"Primary auditory area, layer 6a",AUDp6a,3880.0,3302.0,7182.0,0.149203125,0.14903125,0.298234375,26004.81725835166,22156.426923883413,24080.622091117537,019396,AUDp
"Primary auditory area, layer 6b",AUDp6b,906.0,670.0,1576.0,0.027234375,0.027203125,0.0544375,33266.78141135972,24629.523262492818,28948.15233692627,039198,AUDp
Posterior auditory area,AUDpo,9790.0,4369.0,14159.0,0.306625,0.3053125,0.6119375,31928.251121076235,14309.92835209826,23119.089736587248,029396,AUD
"Posterior auditory area, layer 1",AUDpo1,1090.0,442.0,1532.0,0.056703125,0.056125,0.112828125,19222.92642601268,7875.278396436525,13549.102411224603,039299,AUDpo
"Posterior auditory area, layer 2/3",AUDpo2/3,2653.0,1461.0,4114.0,0.073265625,0.07325,0.1465156249999999,36210.70590744295,19945.392491467577,28078.049199455265,029199,AUDpo
"Posterior auditory area, layer 4",AUDpo4,2115.0,580.0,2695.0,0.0373125,0.0371875,0.0745,56683.417085427136,15596.638655462186,36140.02787044466,039298,AUDpo
"Posterior auditory area, layer 5",AUDpo5,2632.0,963.0,3595.0,0.0906875,0.090703125,0.181390625,29022.74293590627,10617.054263565891,19819.89859973608,019197,AUDpo
"Posterior auditory area, layer 6a",AUDpo6a,1002.0,718.0,1720.0,0.039578125,0.0393125,0.0788906249999999,25317.01539676273,18263.910969793324,21790.46318327803,029399,AUDpo
"Posterior auditory area, layer 6b",AUDpo6b,298.0,205.0,503.0,0.009078125,0.008734375,0.0178125,32826.16179001721,23470.483005366725,28148.32239769197,029298,AUDpo
Ventral auditory area,AUDv,21764.0,15807.0,37571.0,0.912859375,0.90990625,1.822765625,23841.56924498913,17372.119380430675,20606.8443127099,019296,AUD
"Ventral auditory area, layer 1",AUDv1,3443.0,746.0,4189.0,0.145921875,0.14425,0.2901718749999999,23594.817432273263,5171.5771230502605,14383.197277661762,019099,AUDv
"Ventral auditory area, layer 2/3",AUDv2/3,3980.0,2731.0,6711.0,0.19434375,0.1919375,0.38628125,20479.176716513903,14228.59003581895,17353.88337616643,029198,AUDv
"Ventral auditory area, layer 4",AUDv4,3457.0,2785.0,6242.0,0.10675,0.107203125,0.213953125,32384.074941451992,25978.720303162805,29181.3976223074,029197,AUDv
"Ventral auditory area, layer 5",AUDv5,6742.0,5741.0,12483.0,0.30221875,0.302015625,0.604234375,22308.344535208355,19008.950281959747,20658.647408584053,019098,AUDv
"Ventral auditory area, layer 6a",AUDv6a,3699.0,3441.0,7140.0,0.141671875,0.141203125,0.282875,26109.628322488144,24369.149053889563,25239.38868818885,019397,AUDv
"Ventral auditory area, layer 6b",AUDv6b,443.0,363.0,806.0,0.021953125,0.023296875,0.04525,20179.35943060498,15581.48893360161,17880.424182103296,019198,AUDv
Visual areas,VIS,158703.0,63612.0,222315.0,6.73221875,6.726890625,13.459109375,23573.654673654208,9456.374950350852,16515.01481200253,098489,Isocortex
Anterolateral visual area,VISal,11930.0,4575.0,16505.0,0.37953125,0.377265625,0.756796875,31433.51173322355,12126.73431352247,21780.12302337301,09838C,VIS
"Anterolateral visual area, layer 1",VISal1,1484.0,238.0,1722.0,0.058921875,0.058296875,0.11721875,25185.892336250334,4082.551594746717,14634.221965498526,0B838B,VISal
"Anterolateral visual area, layer 2/3",VISal2/3,3280.0,1127.0,4407.0,0.099625,0.09903125,0.19865625,32923.46298619824,11380.246134427263,22151.85456031275,098389,VISal
"Anterolateral visual area, layer 4",VISal4,2494.0,820.0,3314.0,0.051671875,0.0520625,0.1037343749999999,48266.102207438766,15750.30012004802,32008.201163743397,088588,VISal
"Anterolateral visual area, layer 5",VISal5,3007.0,1377.0,4384.0,0.101765625,0.10153125,0.203296875,29548.288039306004,13562.326869806093,21555.30745455605,08848B,VISal
"Anterolateral visual area, layer 6a",VISal6a,1347.0,819.0,2166.0,0.0563125,0.055359375,0.111671875,23920.088790233072,14794.24216765453,19357.1654789438,09828C,VISal
"Anterolateral visual area, layer 6b",VISal6b,318.0,194.0,512.0,0.011234375,0.010984375,0.02221875,28305.980528511824,17661.45092460882,22983.715726560324,0B848C,VISal
Anteromedial visual area,VISam,8476.0,3639.0,12115.0,0.3951875,0.395453125,0.790640625,21448.04681322157,9202.102019044609,15325.074416133088,08838B,VIS
"Anteromedial visual area, layer 1",VISam1,1040.0,275.0,1315.0,0.066859375,0.067546875,0.13440625,15555.036223416686,4071.246819338422,9813.141521377554,09848B,VISam
"Anteromedial visual area, layer 2/3",VISam2/3,2592.0,1272.0,3864.0,0.104,0.103828125,0.2078281249999999,24923.07692307693,12251.015801354402,18587.046362215668,0B848A,VISam
"Anteromedial visual area, layer 4",VISam4,823.0,312.0,1135.0,0.030171875,0.030125,0.060296875,27277.05851890212,10356.846473029043,18816.952495965583,09858A,VISam
"Anteromedial visual area, layer 5",VISam5,2387.0,1025.0,3412.0,0.11375,0.11346875,0.22721875,20984.615384615383,9033.32415312586,15008.969768870622,0A848B,VISam
"Anteromedial visual area, layer 6a",VISam6a,1370.0,603.0,1973.0,0.067796875,0.068171875,0.13596875,20207.421064761464,8845.289938115975,14526.35550143872,0A828B,VISam
"Anteromedial visual area, layer 6b",VISam6b,264.0,152.0,416.0,0.012609375,0.0123125,0.024921875,20936.80297397769,12345.17766497462,16640.990319476157,08838A,VISam
Lateral visual area,VISl,21098.0,7415.0,28513.0,0.61309375,0.612828125,1.225921875,34412.35536979459,12099.640498712426,23255.997934253508,0A848C,VIS
"Lateral visual area, layer 1",VISl1,3006.0,958.0,3964.0,0.0928125,0.09240625,0.18521875,32387.878787878784,10367.264119039568,21377.57145345917,09848A,VISl
"Lateral visual area, layer 2/3",VISl2/3,5804.0,2212.0,8016.0,0.150609375,0.150921875,0.30153125,38536.77767403258,14656.589709079612,26596.683691556096,0A8489,VISl
"Lateral visual area, layer 4",VISl4,4558.0,948.0,5506.0,0.089640625,0.089609375,0.17925,50847.481261983616,10579.250217959894,30713.36573997176,08828B,VISl
"Lateral visual area, layer 5",VISl5,4503.0,1976.0,6479.0,0.157,0.15721875,0.31421875,28681.528662420384,12568.475452196382,20625.002057308386,0B858B,VISl
"Lateral visual area, layer 6a",VISl6a,2717.0,1233.0,3950.0,0.10353125,0.10365625,0.2071875,26243.28403259885,11895.085921012964,19069.184976805907,08848C,VISl
"Lateral visual area, layer 6b",VISl6b,510.0,88.0,598.0,0.0195,0.019015625,0.038515625,26153.846153846152,4627.773212818405,15390.809683332278,09858C,VISl
Primary visual area,VISp,76724.0,27767.0,104491.0,3.537703125,3.535171875,7.072875,21687.517942874303,7854.49788067235,14771.007911773326,0A858C,VIS
"Primary visual area, layer 1",VISp1,10005.0,3265.0,13270.0,0.630546875,0.631125,1.261671875,15867.178788254245,5173.301643889879,10520.240216072065,098589,VISp
"Primary visual area, layer 2/3",VISp2/3,22010.0,7078.0,29088.0,0.99971875,1.000015625,1.999734375,22016.19205401519,7077.889407978,14547.040730996596,0A828C,VISp
"Primary visual area, layer 4",VISp4,14807.0,4484.0,19291.0,0.5121875,0.5121875,1.024375,28909.334960341672,8754.606467358144,18831.970713849907,0B848B,VISp
"Primary visual area, layer 5",VISp5,17111.0,7528.0,24639.0,0.776203125,0.77603125,1.5522343749999998,22044.487388529906,9700.6402770507,15872.563832790303,088389,VISp
"Primary visual area, layer 6a",VISp6a,11141.0,4821.0,15962.0,0.534015625,0.53453125,1.068546875,20862.68543172309,9019.117217187955,14940.901324455524,08858C,VISp
"Primary visual area, layer 6b",VISp6b,1650.0,591.0,2241.0,0.08503125,0.08128125,0.1663125,19404.63065049614,7271.049596309112,13337.840123402626,08858A,VISp
Posterolateral visual area,VISpl,6043.0,2947.0,8990.0,0.397140625,0.39575,0.7928906250000001,15216.272573474444,7446.620341124448,11331.446457299446,09838B,VIS
"Posterolateral visual area, layer 1",VISpl1,1087.0,387.0,1474.0,0.0949375,0.094359375,0.1892968749999999,11449.637919684004,4101.341281669151,7775.4896006765775,0A838A,VISpl
